id,price,room_type,property_type,neighbourhood_cleansed,neighbourhood_norm,accommodates,bedrooms,beds,bathrooms,minimum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,host_is_superhost,is_commercial_host,calculated_host_listings_count,host_tenure_years,instant_bookable,latitude,longitude,dist_city_center_km,amenities_count,has_wifi,has_kitchen,has_washer,has_pool,has_pets_allowed,has_free_parking,has_workspace,has_aircon
44077,86.0,Private room,Private room in bungalow,Dn Laoghaire-Rathdown,Churchtown,2,1.0,2.0,1.0,3,9,394,2.23,4.82,True,0,2,15.1129363449692,False,53.29178,-6.25792,6.459126708698727,55,1,0,1,0,0,1,0,1
159889,48.0,Private room,Private room in home,Dublin City,Dublin,1,1.0,1.0,2.0,2,312,464,2.82,4.75,False,0,3,14.212183436002737,False,53.39027,-6.23547,4.797693492519469,28,1,0,1,0,0,1,0,0
162809,101.0,Private room,Private room in townhouse,Dn Laoghaire-Rathdown,Dublin,6,2.0,4.0,1.5,2,7,397,3.17,4.85,False,0,2,14.203969883641342,False,53.28326,-6.19188,8.696669539171303,54,1,1,1,0,0,1,0,0
245903,30.0,Private room,Private room in home,South Dublin,Lucan,1,1.0,1.0,1.5,30,25,51,0.32,4.92,True,0,1,13.924709103353868,False,53.34596,-6.41719,10.457035509753476,30,1,1,1,0,0,1,0,0
292757,130.0,Entire home/apt,Entire home,Dublin City,Dublin,9,4.0,5.0,2.5,2,117,507,3.19,4.94,True,0,1,13.74674880219028,False,53.36949,-6.34889,6.292072702794192,68,1,1,1,1,1,1,1,1
302554,177.0,Entire home/apt,Entire rental unit,Dublin City,Dublin,5,1.0,2.0,1.0,2,264,78,0.47,4.68,False,1,8,13.705681040383299,True,53.35681,-6.29094,2.184327645745835,29,1,1,1,0,0,1,0,0
302634,87.0,Entire home/apt,Entire rental unit,Dublin City,Dublin,2,1.0,2.0,1.0,2,143,180,1.09,4.64,False,1,8,13.705681040383299,True,53.35681,-6.29094,2.184327645745835,29,1,1,1,0,0,1,0,0
419987,198.0,Entire home/apt,Entire rental unit,Dublin City,Dublin,6,1.0,3.0,1.0,2,284,182,1.16,4.78,False,1,8,13.705681040383299,True,53.35682,-6.29132,2.208373830099227,30,1,1,1,0,0,1,0,0
424596,161.0,Entire home/apt,Entire loft,Dublin City,Dublin,3,1.0,1.0,1.0,2,148,679,4.21,4.85,True,0,4,13.434633812457221,False,53.355545,-6.258094,0.6560350652811054,48,1,1,1,0,0,0,0,0
426326,135.0,Private room,Private room in home,Dublin City,Dublin,3,3.0,3.0,2.0,1,5,267,1.66,4.61,False,0,3,14.212183436002737,True,53.39027,-6.23547,4.797693492519469,33,1,1,1,0,0,1,0,0
427077,173.0,Entire home/apt,Entire loft,Dublin City,Dublin,3,1.0,1.0,1.0,2,166,630,3.87,4.84,True,0,4,13.434633812457221,False,53.35572,-6.25803,0.6759710229448034,48,1,1,1,0,0,0,0,0
427495,112.0,Private room,Private room in home,Dublin City,Dublin,2,17.0,1.0,2.0,1,351,189,1.19,4.6,False,0,3,14.212183436002737,False,53.39027,-6.23547,4.797693492519469,34,1,1,1,0,0,1,1,1
451611,162.0,Entire home/apt,Entire condo,Dublin City,Ireland,2,1.0,1.0,1.0,1,29,676,4.18,4.65,True,0,3,13.672826830937714,True,53.3404,-6.27256,1.3270816893264343,25,1,1,1,0,0,1,0,0
